panel,model_year,engine_family,carryover_family,lineage_root,lineage_depth
nonroad,2015,FYDXL1.64NDA,DYDXL1.64NDA,DYDXL1.64NDA,1
nonroad,2015,FJDXL06.8302,EJDXL06.8302,EJDXL06.8302,1
nonroad,2016,GCEXL023.AAB,CCEXL023.AAB,CCEXL023.AAB,1
nonroad,2016,GYDXL1.64NMA,DYDXL1.64NMA,DYDXL1.64NMA,1
nonroad,2016,GYDXL1.50L3T,CYDXL1.50K3T,CYDXL1.50K3T,1
nonroad,2015,FCPXL18.1HTF,ECPXL18.1HTF,ECPXL18.1HTF,1
nonroad,2015,FDZXL07.8046,,FDZXL07.8046,0
nonroad,2016,GKMCL2.29A41,FKMCL2.29A41,FKMCL2.29A41,1
nonroad,2016,GHZXL3.43V43,FHZXL3.43V43,FHZXL3.43V43,1
nonroad,2016,GDZXL06.1059,FDZXL06.1059,FDZXL06.1059,1
nonroad,2016,GJCBL04.8S12,FJCBL04.8S12,FJCBL04.8S12,1
nonroad,2016,GPKXL07.0PW2,FPKXL07.0PW2,FPKXL07.0PW2,1
nonroad,2016,GDZXL04.8029,FDZXL04.8029,CDZXL04.8029,4
nonroad,2016,GSIDL16.8H6C,,GSIDL16.8H6C,0
nonroad,2016,GMMLL02.7C33,EMMLL02.7C33,EMMLL02.7C33,1
nonroad,2016,GMNBL24.2OR4,,GMNBL24.2OR4,0
nonroad,2016,GVPXL10.8CJA,,GVPXL10.8CJA,0
nonroad,2017,HFPXL06.7DGB,GFPXL06.7DGB,CFPXL06.7DGB,5
nonroad,2015,FMDDL40.1GNR,,FMDDL40.1GNR,0
nonroad,2016,GCPXL08.8NZS,FCPXL08.8NZS,CCPXL08.8NZS,4
nonroad,2015,FPEXL01.6DV6,,FPEXL01.6DV6,0
nonroad,2016,GJDXL06.8210,CJDXL06.8210,CJDXL06.8210,1
nonroad,2016,GYDXL3.32NDA,,GYDXL3.32NDA,0
nonroad,2014,EPEXL01.6DV6,,EPEXL01.6DV6,0
nonroad,2016,GVPXL07.7CJA,,GVPXL07.7CJA,0
nonroad,2017,HSZXL02.2VTK,8SZXL02.2VTB,HSZXL02.2VTK,0
nonroad,2017,HSZXL03.0JXK,8SZXL03.0JXB,HSZXL03.0JXK,0
nonroad,2016,GMDDL21.0XWM,FMDDL21.0XWM,FMDDL21.0XWM,1
nonroad,2017,HCPXL15.2NYS,GCPXL15.2NYS,CCPXL15.2NYS,5
nonroad,2017,HYDXL0.99NWB,,HYDXL0.99NWB,0
nonroad,2017,HNFXL03.0DD2,GNFXL03.0DD2,FNFXL03.0DD2,2
nonroad,2016,GPKXL7.01BL1,FPKXL7.01BL1,FPKXL7.01BL1,1
nonroad,2017,HJDXL04.5141,CJDXL04.5141,CJDXL04.5141,1
nonroad,2016,GDCLL01.0D5G,CDCLL01.0D5G,CDCLL01.0D5G,1
nonroad,2016,GJDXL13.5310,FJDXL13.5310,FJDXL13.5310,1
nonroad,2016,GPEXL01.6DV6,,GPEXL01.6DV6,0
nonroad,2016,GPKXL04.4NP1,FPKXL04.4NP1,FPKXL04.4NP1,1
nonroad,2017,HPKXL04.4NR1,GPKXL04.4NR1,FPKXL04.4NR1,2
nonroad,2016,GH3XL2.22TD3,,GH3XL2.22TD3,0
nonroad,2017,HYDXL1.27NUA,DYDXL1.27NUA,DYDXL1.27NUA,1
nonroad,2017,HVPXL16.1ADA,GVPXL16.1ADA,CVPXL16.1ADA,5
nonroad,2016,GCPXL18.1HTH,,GCPXL18.1HTH,0
nonroad,2017,HKMCL2.28A46,DKMCL2.28A46,DKMCL2.28A46,1
nonroad,2016,GMDDL21.0ZWR,AMDDL21.0GWR,GMDDL21.0ZWR,0
