panel,model_year,engine_family,engine_code,engine_test_model,pollutant,test_type,cert_result,units,fel,standard,adj_result,fcl
nonroad,2016,GKBXL03.6BAC,V3600-T-BG-ET01,,NMHC,steady_state,0.14,g/kW-hr,,,,
nonroad,2016,GH3XL2.22NLT,404D-22T,,NMHC,steady_state,0.13,g/kW-hr,,,,
nonroad,2016,GH3XL2.22TCC,404D-22TA,,NMHC,steady_state,0.15,g/kW-hr,,,,
nonroad,2016,GH3XL2.22TIC,404D-22TA,,NMHC,steady_state,0.09,g/kW-hr,,,,
nonroad,2015,FCPXL78.1NSF,CERT 2,,NMHC,steady_state,0.01,g/kW-hr,,,,
nonroad,2016,GKHXL3.36TCR,,,NMHC,steady_state,0.05,g/kW-hr,,,,
nonroad,2015,FH3XL1.49F2V,EK25-2100,,NMHC,steady_state,0.28,g/kW-hr,,,,
nonroad,2016,GTIEL01.81ZS,,,NMHC,steady_state,0.06,g/kW-hr,,,,
nonroad,2016,GCPXL7.01HPF,CERT TEST 1,,NMHC,steady_state,0.03,g/kW-hr,,,,
nonroad,2016,GMMLL02.7C38,CE-38,,NMHC,steady_state,0.28,g/kW-hr,,,,
nonroad,2015,FPKXL04.4MT1,PARENT4074/2200,,NMHC,steady_state,0.0,g/kW-hr,,,,
nonroad,2015,FPKXL04.4NR1,PARENT-4154/2200,,NMHC,steady_state,0.12,g/kW-hr,,,,
nonroad,2016,GMMLL02.6N67,VNE367,,NMHC,steady_state,0.16,g/kW-hr,,,,
nonroad,2015,FPKXL07.0BN1,PARENT-4346/2200,,NMHC,steady_state,0.01,g/kW-hr,,,,
nonroad,2015,FMDDL21.0XWM,7270,,NMHC,steady_state,0.09,g/kW-hr,,,,
nonroad,2015,FVSXL10.8T4F,11-17,,NMHC,steady_state,0.02,g/kW-hr,,,,
nonroad,2015,FDZXL06.1049,CFWT174U,,NMHC,steady_state,0.01,g/kW-hr,,,,
nonroad,2016,GLGCL01.9L3C,L3C19-T3,,NMHC,steady_state,0.1,g/kW-hr,,,,
nonroad,2015,FJDXL13.5310,6135HPRNT3,,NMHC,steady_state,0.03,g/kW-hr,,,,
nonroad,2015,FCPXL32.0HXF,CERT TEST 1,,NMHC,steady_state,0.02,g/kW-hr,,,,
nonroad,2016,GH3XL2.22ABT,404D-22T,,NMHC,steady_state,0.08,g/kW-hr,,,,
nonroad,2016,GCEXL0540AAB,8548:FR91672,,NMHC,steady_state,0.27,g/kW-hr,,,,
nonroad,2016,GCEXL023.AAB,CPL3083FR50063,,NMHC,steady_state,0.4,g/kW-hr,,,,
nonroad,2015,FCPXL18.1HTF,CERT TEST 1,,NMHC,steady_state,0.04,g/kW-hr,,,,
